531001,Supp-Postage,"141,410","146,000","146,000","11,000"
531914,Supp-Office and Printing,"26,383","29,714","29,714","10,014"
533030,Noncap-Small Tools,0,220,220,0
542010,Tele-Telephone,"1,746","2,355","2,355","1,800"
555100,Training,"15,452","25,000","25,000","22,000"
610101,Computer Service Charges,"165,957","172,435","172,435","178,432"
610102,Telecommunications Charges,"33,402","35,825","35,825","30,993"
700-50-800-8005-000000-000 Billings,700-50-800-8005-000000-000 Billings,"1,046,796","1,113,641","1,113,641","1,095,490"
700-50-800-8006-000000-000 Sewage Collect and Sys Maint,700-50-800-8006-000000-000 Sewage Collect and Sys Maint,700-50-800-8006-000000-000 Sewage Collect and Sys Maint,,,
501000,Sal-Full-time,"822,646","1,128,725","1,128,725","1,115,037"
510000,Sal-Overtime,"110,719","95,000","95,000","95,000"
510005,Allow-On-Call,"12,524","12,960","12,960","11,880"
510007,Allow-Shift Differential,0,"40,000","40,000","40,000"
510099,Sal-Allow for Salary Savings,0,"-54,341","-54,341","-55,748"
511100,Bene-FICA,"67,007","83,150","83,150","86,215"
511115,Bene-Health Insurance,"239,963","216,912","216,912","227,880"
511120,Bene-Dental Insurance,928,936,936,808
511125,Bene-VRS Life Insurance,"2,201","3,043","3,043","13,414"
511140,Bene-Retirement VRS,"96,385","137,638","137,638","89,759"
511166,Bene-Allowance for Vacancy,0,"-4,319","-4,319","-4,984"
,Sav,,,,
521208,Contractual-Street Opening,"220,000","170,000","170,000","200,000"
521905,Contractual-Other,"23,075","50,000","50,000","50,000"
521910,Contractual-Rental Uniforms,"9,681","12,000","12,000","12,000"
521914,Contractual-Temp Work,"57,357","60,000","60,000","60,000"
522135,Maint-Grounds,"21,610","37,000","37,000","37,000"
522146,Maint-Sewer Cleaning/CCTV,"276,584","400,000","400,000","400,000"
524100,Repairs-Buildings and Grounds,"8,832","22,000","22,000","20,000"
GovMax V5,,,,18-47,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Public Utility Fund,Public Utility Fund,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,
700-50-800-8006-000000-000 Sewage Collect and Sys Maint,700-50-800-8006-000000-000 Sewage Collect and Sys Maint,700-50-800-8006-000000-000 Sewage Collect and Sys Maint,,,
524999,Repairs-Other,"21,051","21,000","21,000","23,000"
531701,Supp-Custodial,0,"1,000","1,000","1,000"
531904,Supp-Chemicals,"10,807","18,000","18,000","15,000"
531914,Supp-Office and Printing,16,"2,000","2,000","2,000"
531920,Supp-Wearing Apparel,"2,644","4,300","4,300","4,300"
531999,Supp-Other,"20,285","32,000","32,000","32,000"
532120,Mat-Construction,"110,440","116,000","116,000","116,000"
532160,Mat-Lubricants,0,"2,000","2,000",0
533030,Noncap-Small Tools,"4,324","5,000","5,000","5,000"
536110,Dues-Memberships,0,155,155,155
541010,Util-Electricity,"146,496","193,334","193,334","193,334"
541999,Util-Other,"21,419","10,090","10,090","21,000"
542010,Tele-Telephone,564,"1,500","1,500","1,500"
543010,Fuel-Gasoline and Other,"3,320","3,700","3,700","3,700"
555100,Training,588,"5,000","5,000","5,000"
700-50-800-8006-000000-000 Sewage,700-50-800-8006-000000-000 Sewage,"2,311,465","2,825,783","2,825,783","2,821,250"
700-50-800-8007-000000-000 Non-Operating,700-50-800-8007-000000-000 Non-Operating,,,,
390099,Budgetary Fund Balance,0,"3,192,488","3,192,488",0
521905,Contractual-Other,"3,146","42,528","42,528","42,528"
541030,Util-Waterworks Operation Fee,"66,379","66,912","95,521","66,912"
541050,Util-Stormwater Fees,"9,437","10,780","10,780","10,780"
541999,Util-Other,"215,042","210,160","210,160","210,160"
551110,PILOT,"1,020,000","1,069,990","1,069,990","1,069,990"
553000,Indirect Cost Allocation,"757,047","757,047","757,047","757,047"
554010,Advertising,"6,322","8,499","8,499","8,499"
554399,Other-Dev/Public Relations,"1,010","1,933","1,933","1,933"
559900,Contingency-Other Operating,"117,854","443,363","414,754","626,444"
630101,Risk Management Charges,"403,932","405,889","405,889","410,825"
710100,DS-Bond Principal,0,"4,581,180","4,581,180","4,486,485"
720100,DS-Bond Interest,"2,660,291","6,165,635","6,165,635","6,399,788"
770100,DS-Cost of Issuance,"241,560",0,0,0
770101,Fiscal Charges,310,0,0,0
990100,Trans to General Fund,"7,875,000","7,875,000","7,875,000","8,875,000"
990710,Trans to Public Utility CIP,"5,000,000","5,000,000","5,000,000","2,883,816"
,700-50-800-8007-000000-000,"18,377,328","29,831,404","29,831,404","25,850,207"
700-50-800-8008-000000-000 Capital Additions,700-50-800-8008-000000-000 Capital Additions,700-50-800-8008-000000-000 Capital Additions,,,
501000,Sal-Full-time,"470,796","504,123","504,123","530,423"
510000,Sal-Overtime,"28,349","6,677","6,677","6,677"
510005,Allow-On-Call,"6,231","11,874","11,874","4,320"
510099,Sal-Allow for Salary Savings,0,"-24,142","-24,142","-26,522"
511100,Bene-FICA,"36,471","36,935","36,935","40,909"
511115,Bene-Health Insurance,"169,278","77,461","77,461","85,170"
511120,Bene-Dental Insurance,381,384,384,332
511125,Bene-VRS Life Insurance,"1,249","1,353","1,353","6,365"
511140,Bene-Retirement VRS,"53,376","56,925","56,925","44,222"
511166,Bene-Allowance for Vacancy,0,"-1,918","-1,918","-2,368"
,Sav,,,,
521910,Contractual-Rental Uniforms,"10,905","12,000","12,000","12,000"
524999,Repairs-Other,0,"1,250","1,250","1,250"
531999,Supp-Other,"136,592","210,000","210,000","210,000"
533030,Noncap-Small Tools,"9,701","12,000","12,000","12,000"
555100,Training,"3,189","3,000","3,000","3,000"
850101,Cap-Equipment-Other,0,0,0,"85,500"
850105,Cap-Motor Vehicles,"3,500","68,000","68,000","199,000"
GovMax V5,,,,18-48,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",,
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014,
Code,Account Description,Actual,Adopted,Amended,Budget,
,,,Public Utility Fund,Public Utility Fund,,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,,
700-50-800-8008-000000-000 Capital,700-50-800-8008-000000-000 Capital,"930,018","975,922","975,922","1,212,278",
,0513 Public Utilities Fund,"37,184,443","45,025,728","45,025,728","43,697,036",
,700 Public Utility Fund,"37,184,443","45,025,728","45,025,728","43,697,036",
,,,Golf Fund,Golf Fund,,
0704 Golf Services Fund,0704 Golf Services Fund,,,,,
720-51-801-8030-000000-000 Bide-a-Wee Golf Course,720-51-801-8030-000000-000 Bide-a-Wee Golf Course,720-51-801-8030-000000-000 Bide-a-Wee Golf Course,,,,
501000,Sal-Full-time,"438,783","457,316","457,316","475,877",
510099,Sal-Allow for Salary Savings,0,"-11,580","-11,580","-22,657",
511100,Bene-FICA,"31,104","33,016","33,016","34,666",
511115,Bene-Health Insurance,"168,488","72,145","72,145","121,164",
511120,Bene-Dental Insurance,192,168,168,224,
511125,Bene-VRS Life Insurance,"1,192","7,715","7,715","5,392",
511140,Bene-Retirement VRS,"55,626","47,975","47,975","37,473",
511166,Bene-Allowance for Vacancy,0,"-1,710","-1,710","-2,326",
,Sav,,,,,
511170,Accrued Annual Leave,"-6,901",0,0,0,
511175,Accrued Comp Time,"-2,376",0,0,0,
521002,Contractual-Auditing,0,"4,000","4,000","4,000",
521202,Contractual-Disposal Fees,"2,179","5,000","5,000","5,000",
521905,Contractual-Other,"154,550","149,400","149,400","149,400",
521910,Contractual-Rental Uniforms,"5,523","5,200","5,200","5,200",
521918,Contractual-Security,"62,791","68,000","68,000","68,000",
522110,Maint-Equipment,"31,974","23,000","23,000","23,000",
523105,Rentals-Cart,"75,355","73,700","73,700","73,700",
524100,Repairs-Buildings and Grounds,"18,530","28,000","28,000","28,000",
531201,Supp-Lawn,"19,225","71,860","71,860","71,860",
531404,Supp-Recreational,"10,981","7,000","7,000","7,000",
531701,Supp-Custodial,"2,281","2,000","2,000","2,000",
531904,Supp-Chemicals,"62,058","59,590","59,590","59,590",
531914,Supp-Office and Printing,"6,205","5,500","5,500","5,500",
531917,Supp-Uniforms,"1,872","1,020","1,020","1,020",
531920,Supp-Wearing Apparel,0,"2,783","2,783","2,783",
531999,Supp-Other,"5,916","12,050","12,050","12,050",
533030,Noncap-Small Tools,"2,322","3,030","3,030","3,030",
533080,Noncap-Mower Parts,"21,558","23,000","23,000","23,000",
541010,Util-Electricity,"47,388","50,000","50,000","50,000",
541020,Util-Water and Sewer,"13,895","10,300","10,300","10,300",
542010,Tele-Telephone,"2,813","5,050","5,050","5,050",
542020,Tele-Telephone Cellular,635,500,500,500,
543020,Fuel-Natural Gas,"6,082","11,000","11,000","11,000",
543030,Fuel-Oil,"18,089","17,000","17,000","17,000",
553000,Indirect Cost Allocation,"85,166","85,165","85,165","85,165",
554010,Advertising,"2,819","5,000","5,000","5,000",
710100,DS-Bond Principal,0,"380,000","380,000","400,000",
720100,DS-Bond Interest,"281,642","292,617","292,617","280,963",
890999,Depreciation Expense,"126,254",0,0,0,
891000,Amortization-COI,"7,719",0,0,0,
891010,Amortization-Bond Disc/Prem,"11,596",0,0,0,
,720-51-801-8030-000000-000,"1,773,528","2,005,810","2,005,810","2,058,924",
720-51-801-8031-000000-000 City Park Golf Course,720-51-801-8031-000000-000 City Park Golf Course,720-51-801-8031-000000-000 City Park Golf Course,,,,
501000,Sal-Full-time,"129,042","193,329","193,329","194,451",
510099,Sal-Allow for Salary Savings,0,"-4,373","-4,373","-9,723",
GovMax V5,,,,49,7/25/2013,2:46:02PM - ET
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Golf Fund,Golf Fund,
0704 Golf Services Fund,0704 Golf Services Fund,,,,
720-51-801-8031-000000-000 City Park Golf Course,720-51-801-8031-000000-000 City Park Golf Course,720-51-801-8031-000000-000 City Park Golf Course,,,
511100,Bene-FICA,"9,342","14,340","14,340","14,876"
511115,Bene-Health Insurance,"14,510","24,891","24,891","29,022"
511120,Bene-Dental Insurance,72,84,84,92
511125,Bene-VRS Life Insurance,344,525,525,"2,314"
511140,Bene-Retirement VRS,"16,284","24,837","24,837","16,081"
511145,Bene-Retirement PSRS,"22,027","21,885","21,885","25,265"
511166,Bene-Allowance for Vacancy,0,-743,-743,-860
,Sav,,,,
521202,Contractual-Disposal Fees,"1,516","2,000","2,000","2,000"
521905,Contractual-Other,"75,145","81,350","81,350","81,350"
521910,Contractual-Rental Uniforms,"1,727","2,200","2,200","2,200"
522110,Maint-Equipment,"3,336","5,200","5,200","5,200"
523105,Rentals-Cart,"15,604","16,024","16,024","16,024"
524100,Repairs-Buildings and Grounds,"5,342","2,273","2,273","2,273"
531201,Supp-Lawn,"7,016","14,145","14,145","14,145"
531404,Supp-Recreational,"8,837","10,733","10,733","10,733"
531701,Supp-Custodial,337,"1,000","1,000","1,000"
531904,Supp-Chemicals,"22,738","21,745","21,745","21,745"
531914,Supp-Office and Printing,539,"2,600","2,600","2,600"
531917,Supp-Uniforms,"1,157","1,750","1,750","1,750"
531999,Supp-Other,"1,486","6,800","6,800","6,800"
533030,Noncap-Small Tools,"1,523","2,020","2,020","2,020"
533070,Noncap-Computer Software,525,"1,000","1,000","1,000"
533080,Noncap-Mower Parts,"7,987","9,090","9,090","9,090"
536110,Dues-Memberships,"1,511","2,480","2,480","2,480"
541010,Util-Electricity,614,"1,200","1,200","1,200"
541020,Util-Water and Sewer,"7,654","15,000","15,000","15,000"
542010,Tele-Telephone,"2,096","2,575","2,575","2,575"
543020,Fuel-Natural Gas,"2,850","5,000","5,000","5,000"
543030,Fuel-Oil,"7,148","8,500","8,500","8,500"
555100,Training,370,"1,020","1,020","1,020"
555210,Travel,0,100,100,100
610101,Computer Service Charges,"10,169","6,336","6,336","7,888"
610102,Telecommunications Charges,"1,652","2,139","2,139","2,653"
620101,Garage Equip Rental Charges,0,745,745,745
620103,Garage Contractual Charges,"2,409","2,624","2,624","2,624"
630101,Risk Management Charges,"62,295","62,597","62,597","63,431"
720-51-801-8031-000000-000 City Park,720-51-801-8031-000000-000 City Park,"445,202","565,021","565,021","564,664"
,0704 Golf Services Fund,"2,218,730","2,570,831","2,570,831","2,623,588"
,720 Golf Fund,"2,218,730","2,570,831","2,570,831","2,623,588"
,,,Waste Management Fund,Waste Management Fund,
0510 Waste Management Fund,0510 Waste Management Fund,,,,
740-25-402-4045-000000-000 Waste Management,740-25-402-4045-000000-000 Waste Management,740-25-402-4045-000000-000 Waste Management,,,
501000,Sal-Full-time,"1,825,394","2,205,197","2,205,197","2,080,659"
501100,Sal-Part-time,"100,640","76,320","76,320","76,320"
510000,Sal-Overtime,"134,241","100,000","100,000","100,000"
510099,Sal-Allow for Salary Savings,0,"-105,889","-105,889","-100,108"
511100,Bene-FICA,"146,984","162,017","162,017","153,180"
511115,Bene-Health Insurance,"670,924","418,855","418,855","518,274"
511120,Bene-Dental Insurance,"1,539","1,500","1,500","1,124"
511125,Bene-VRS Life Insurance,"4,902","28,192","28,192","23,832"
GovMax V5,,,,18-50,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Waste Management Fund,Waste Management Fund,
0510 Waste Management Fund,0510 Waste Management Fund,,,,
740-25-402-4045-000000-000 Waste Management,740-25-402-4045-000000-000 Waste Management,,,,
511140,Bene-Retirement VRS,"207,335","241,064","241,064","152,234"
511145,Bene-Retirement PSRS,"485,313","481,839","481,839","548,820"
511166,Bene-Allowance for Vacancy,0,"-8,405","-8,405","-9,949"
,Sav,,,,
511170,Accrued Annual Leave,597,0,0,0
511175,Accrued Comp Time,"1,467",0,0,0
521203,Contractual-Landfill,"37,307","50,000","50,000","50,000"
521207,Contractual-SPSA Trash,"5,850,931","5,675,742","5,675,742","5,100,000"
,Removal,,,,
521905,Contractual-Other,"53,068","15,000","15,000","15,000"
521910,Contractual-Rental Uniforms,"17,358","22,500","22,500","25,000"
522115,Maint-Office Equipment,"1,602","1,700","1,700","1,700"
531701,Supp-Custodial,"2,282","4,000","4,000","4,000"
531904,Supp-Chemicals,0,300,300,300
531914,Supp-Office and Printing,"7,566","9,000","9,000","9,000"
531920,Supp-Wearing Apparel,"11,617","10,000","10,000","10,000"
531999,Supp-Other,"57,261","102,600","102,600","25,000"
532120,Mat-Construction,"26,218","60,000","60,000","60,000"
533010,Noncap-Equipment,0,"15,509","15,509","255,000"
533030,Noncap-Small Tools,"6,728","1,400","1,400","1,400"
536110,Dues-Memberships,0,500,500,"1,500"
541999,Util-Other,"1,113","7,000","7,000","7,000"
542020,Tele-Telephone Cellular,"3,611","4,000","4,000","4,000"
553000,Indirect Cost Allocation,"198,298","198,297","198,297","198,297"
554010,Advertising,"3,894","6,500","6,500","7,500"
555100,Training,0,"3,000","3,000","3,000"
559080,Closure - Post Closure,"-433,555","257,240","257,240",0
590000,Bad Debt Expense,"34,664",0,0,0
610101,Computer Service Charges,"26,777","27,532","27,532","29,929"
610102,Telecommunications Charges,"16,584","22,132","22,132","18,040"
620101,Garage Equip Rental Charges,"1,046,129","1,058,901","1,058,901","1,000,000"
620103,Garage Contractual Charges,"10,000","9,626","9,626","9,626"
630101,Risk Management Charges,"460,173","462,403","462,403","468,546"
710130,DS-Lease Purchase Principal,0,"926,471","926,471","713,990"
720130,DS-Lease Purchase Interest,"47,664","34,749","34,749","15,306"
850101,Cap-Equipment-Other,0,0,0,"707,280"
740-25-402-4045-000000-000 Waste,740-25-402-4045-000000-000 Waste,"11,066,626","12,586,792","12,586,792","12,284,800"
740-53-402-4045-000000-000 Waste Management,740-53-402-4045-000000-000 Waste Management,,,,
890999,Depreciation Expense,"700,213",0,0,0
891010,Amortization-Bond Disc/Prem,"4,323",0,0,0
740-53-402-4045-000000-000 Waste,740-53-402-4045-000000-000 Waste,"704,536",0,0,0
,0510 Waste Management Fund,"11,771,163","12,586,792","12,586,792","12,284,800"
,740 Waste Management Fund,"11,771,163","12,586,792","12,586,792","12,284,800"
,,Portsmouth Parking Authority,Portsmouth Parking Authority,Portsmouth Parking Authority,
0506 Parking Authority Fund,0506 Parking Authority Fund,,,,
750-54-900-9000-000000-000 Parking Authority,750-54-900-9000-000000-000 Parking Authority,,,,
501000,Sal-Full-time,"216,363","217,805","217,805","213,478"
501100,Sal-Part-time,"62,835","145,793","145,793","145,793"
510000,Sal-Overtime,"4,747","10,000","10,000","10,000"
510005,Allow-On-Call,"2,160","4,318","4,318","2,160"
510099,Sal-Allow for Salary Savings,0,"-10,304","-10,304","-10,312"
GovMax V5,,,,18-51,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,Portsmouth Parking Authority,Portsmouth Parking Authority,Portsmouth Parking Authority,
0506 Parking Authority Fund,0506 Parking Authority Fund,,,,
750-54-900-9000-000000-000 Parking Authority,750-54-900-9000-000000-000 Parking Authority,,,,
